Question Number,Answer
1,3.308
2,648.968
3,5.875
4,1
5,12.137
6,-5.763
7,-110.31
8,-107.265
9,10.508
10,-0.296
11,17
12,0.743
13,2.186
14,1348.2144
15,33.47575
16,1
17,-1378.56
18,11.156994
19,152.1
20,7.076004
21,-1.962585034
22,7.5646551724
23,0.2544529262
24,1
25,1
26,0.748
27,-15.397
28,110.119
29,-11.618
30,6.068
31,-694.8
32,11.657
33,3.61
34,-0.2958579882
35,1.79
36,61.16872
37,-1.96
38,-7.099
39,10.705
40,0.2207018318
41,5.556
42,60.60457
43,235.75
44,12.154
45,19.25
46,5.041
47,-7.94236
48,1
49,2.438
50,6.378
51,1.987
52,39.35
53,28.44
54,27.29
55,2.2201946472
56,2.73
57,1
58,9.946
59,61.7
60,15.145
61,0.1151277918
62,-7.9
63,64.15
64,-2260.869
65,41.5966366651
66,9.3352546917
67,175.938
68,7.722
69,3.24
70,2.2
71,7.01
72,171.600444
73,175.621
74,0.455
75,1
76,1
77,-838.61343
78,5.37
79,1
80,4.0583554377
81,7.0104482642
82,3.95
83,-23.56
84,8.554
85,-21.825
86,-1
87,0.9200334938
88,370.340274
89,12.74
90,0.2282062985
91,8.639
92,1.61
93,15.85
94,6.8806818182
95,-25.3315085158
96,-46.9497
97,0.073
98,1.4441016913
99,1.26
100,-243.54
101,1.31
102,61.7001
103,1.27
104,1.5234069203
105,5.759
106,4.093
107,-15.4
108,0.47
109,1.7100426954
110,2.96
111,10.27836
112,20.587
113,-0.198
114,-175.132
115,-53.7
116,1.3383536208
117,128.82
118,3.619
119,6.64587
120,26.35
121,9.95
122,-2.78
123,4.14
124,-21.83
125,-295.53
126,19.57
127,3.121
128,4.487
129,4.804
130,26.2441
131,-123.473682
132,71.669
133,1
134,7.307
135,-13.0144
136,1.92
137,-30.05
138,1
139,25.43758
140,1
141,-4.18
142,45.985
143,3.24
144,18.91
145,-4.5
146,10.6449
147,0.2070393375
148,5.269
149,-17.9220146223
150,-0.481
151,36.637999
152,-2.251
153,7.868
154,369.931
155,1
156,32.83
157,9.73122
158,3.244
159,18.9149649178
160,8.65
161,-0.6800563777
162,1.298654056
163,-2.606
164,0.3873370577
165,1
166,-38.257
167,44.52
168,-39.8766
169,0.1404099972
170,0.344589938
171,3.665
172,-5.231
173,4.17
174,-23.5648
175,14.78
176,71.492
177,-152.192
178,1.4622773664
179,3420.99
180,1
181,0.1340875994
182,-123.47
183,13.58
184,65.78
185,5.62
186,7.495
187,69.82
188,8.81
189,5.23
190,10.688
191,3199.36726
192,7.3
193,2.438
194,1
195,11.31
196,-0.238
197,-17.11
198,8.809
199,-3.51
200,13.576
201,9.15
202,11.3
203,-13.01
204,3.44
205,1.85
206,-0.2516489659
207,1.62
208,2.88
209,1.27
210,8.79
211,3.957
212,5.613
213,-0.2692152376
214,1.51
215,8.41
216,-14.694
217,4.934
218,79.84
219,12
220,5.3
221,0.643
222,304.619
223,5.038
224,-24.577252
225,-21.07
226,40.027
227,1.66572
228,-26.13
229,7.294
230,61.17
231,7.706
232,9.768
233,-21.0737235915
234,2.244
235,152.06862
236,-8.237
237,64.614751
238,455.49
239,-2263.339
240,0.023
241,1.2723480334
242,0.1416216216
243,1.7889810679
244,1
245,31.2269605331
246,12.15
247,1.1943691076
248,1.424
249,-11.41
250,27.487
251,9.34
252,-4.1811
253,-3.8221933809
254,-295.532064
255,9.074
256,0.8565885689
257,52.791
258,0.214
259,2.03
260,7.46
261,-3.82
262,0.203
263,6.38
264,1
265,1.919
266,-1
267,0.085
268,-827.359
269,1
270,7.05
271,8.901
272,-789.11726
273,24.786
274,80.763
275,1
276,-641.793664
277,-38.74
278,1.19
279,0.1069289991
280,3.66
281,6.182
