Question Number,Answer
1,3.308
2,648.973536348
3,5.875
4,3
5,14.353
6,-4.763
7,-110.3917098445
8,-107.268474
9,10.917715485
10,-0.56171496
11,17
12,0.743
13,-2.186
14,2824.9568
15,33.47575
16,1
17,-1378.5618135756
18,-8.393994
19,318.7
20,5.045004
21,-1.9694889042
22,5.1197559704
23,0.2544529262
24,1
25,1
26,-3.74
27,-15.3998433099
28,-110.122474
29,-11.615
30,5.488
31,368.4031960664
32,11.6664889042
33,9.85
34,-0.5917159763
35,-1.7885556265
36,128.2156654684
37,-1.9694889042
38,0
39,9.6777054264
40,0.2207018318
41,-5.563238806
42,60.60457
43,123.99
44,12.1582571209
45,23.406905696
46,6.130672
47,5.6872136833
48,-3
49,2.436772
50,1.069125
51,1.987
52,23.762
53,23.131125
54,27.293
55,2.2201946472
56,3.0148958734
57,1
58,9.947536348
59,56.8923
60,38.2098948609
61,0.2302555837
62,5.7
63,33.7388428419
64,1198.784
65,41.368555424
66,9.3358672922
67,368.649
68,7.722
69,3.244
70,-2.2
71,6.9714451338
72,171.600444
73,174.658041
74,0.4750654253
75,1
76,1
77,-838.5716409156
78,1.187
79,1
80,3.6671865958
81,6.9714451338
82,2.95
83,-23.5911
84,8.6016838086
85,-19.8546265552
86,0
87,0.2708813063
88,370.340274
89,11.1259273447
90,0.2282062985
91,-7.125
92,-1.604
93,8.38478
94,8.2700219572
95,25.3315085158
96,33.8751
97,0.1013727048
98,1.4876838086
99,0.4294478528
100,-243.5656204146
101,1.3109219491
102,56.8923
103,1.272986046
104,1.5167239674
105,1.96
106,4.093
107,-15.4
108,0.465
109,0.5513272694
110,3.24
111,10.27705525
112,24.743905696
113,0.802
114,175.147041
115,-53.69532
116,-0.4978337116
117,128.823221
118,1.919306
119,29.7108948609
120,31.159968
121,9.947536348
122,-10.3717933794
123,12.13
124,-19.8546265552
125,-295.48956492
126,-16.5002500633
127,-3.121
128,6.4933307057
129,4.7854415164
130,23.7356
131,94.66550904
132,49.0232496
133,1
134,9.1774765274
135,85.820672
136,0.220306
137,32.400815471
138,2
139,23.4696265552
140,0
141,0
142,-20.872125
143,3.244
144,39.096240444
145,1.6558841153
146,7.21168
147,0
148,5.269
149,-17.9352899829
150,-0.481
151,-30.217125
152,-9.8427933794
153,5.719
154,369.96
155,1
156,96.20303
157,9.6873159795
158,3.244
159,39.096240444
160,8.6065567541
161,-0.6725787093
162,3.8959621681
163,-2.606
164,0.3873370577
165,2
166,27.3775298658
167,44.523228
168,-39.8766
169,0.1404099972
170,0.344589938
171,1.6536692943
172,0
173,4.17
174,-23.5911
175,14.78
176,71.592
177,-152.192444
178,1.8365972638
179,3421.25171496
180,1
181,0.720062731
