Question Number,Answer
1,3.308
2,648.978
3,5.875
4,1
5,12.160
6,-5.763
7,-110.00
8,-489.855
9,10.197
10,-0.606
11,17
12,0.743
13,2.186
14,1348.2144
15,33.47
16,1
17,-1378.6
18,11.157
19,152.1
20,7.076
21,-1.967
22,7.9885
23,0.2545
24,1
25,1
26,0.748
27,-58.587
28,492.709
29,-11.638
30,6.068
31,-695.36
32,11.667
33,3.61
34,-0.2959
35,1.79
36,61.1687
37,-1.97
38,-7.099
39,10.685
40,0.2207
41,5.536
42,60.60
43,235.94
44,12.124
45,19.2
46,5.031
47,-7.983
48,1
49,2.428
50,7.308
51,1.987
52,39.670
53,29.37
54,27.29
55,2.250
56,10.27
57,1
58,9.952
59,62.5
60,0.815
61,0.1151
62,-8.0
63,64.2
64,-2262.70
65,41.59
66,9.335
67,175.950
68,7.722
69,1.24
70,2.2
71,7.0
72,171.6
73,175.611
74,0.476
75,1
76,1
77,-2514.525
78,5.38
79,1
80,4.050
81,7.008
82,3.95
83,-23.5
84,8.524
85,-21.785
86,-1
87,0.920
88,370.340274
89,23.203
90,0.2282
91,8.639
92,3.608
93,16.999
94,6.864
95,-25.33
96,-47.544
97,0.216
98,1.411
99,1.26
100,-243.5
101,1.422
102,62.5014
103,1.3
104,1.5228
105,5.749
106,4.04
107,-58.59
108,0.46
109,1.896
110,3.27
111,10.275
112,20.537
113,-0.198
114,-175.122
115,-53.730
116,1.338
117,127.65
118,3.099
119,-7.6857
120,26.4
121,10.0
122,-2.78
123,4.14
124,-21.8
125,-295.8
126,19.6
127,4.121
128,6.167
129,4.824
130,26.244
131,-130.78
132,71.659
133,1
134,10.733
135,-13.0144
136,1.4
137,-30.076
138,1
139,25.399
140,1
141,-4.19
142,45.985
143,1.24
144,18.9
145,-4.56
146,11.508
147,0.2070
148,5.269
149,-17.87
150,-0.481
151,36.64
152,-2.251
153,7.868
154,369.988
155,1
156,32.830
157,9.726
158,1.244
159,18.916
160,8.642
161,-0.6785
162,1.2987
163,-2.606
164,0.3873
165,1
166,-38.307
167,44.5
168,-119.63
169,0.1404
170,0.3446
171,1.975
172,-5.231
173,4.17
174,-23.50
175,14.78
176,71.592
177,-152.192
178,2.1479
179,3421.30
180,1
181,0.1341
182,-130.78
183,13.89
184,65.77
185,5.623
186,7.495
187,69.8
188,8.8
189,5.236
190,11.838
191,3199.36726
192,7.4
193,2.428
194,1
195,11.333
196,-0.178
197,-17.1
198,8.809
199,-3.569
200,13.265
201,10.14
202,11.57
203,-13.0
204,2.727
205,1.85
206,-0.2516
207,1.4
208,2.871
209,1.3
210,8.79
211,3.957
212,11.226
213,-0.1346
214,1.513
215,8.41
216,-15.564
217,4.934
218,68.380
219,12.00
220,5.3
221,0.643
222,304.889
223,5.038
224,-64.72
225,-64.26
226,40.077
227,1.6657
228,-26.130
229,8.006
230,61.17
231,0.115
232,9.778
233,-64.26
234,2.234
235,152.0686
236,-8.207
237,64.67
238,455.491
239,-2265.17
240,0.023
241,1.272
242,0.15373
243,1.789
244,1
245,31.254
246,12.124
247,1.452
248,1.424
249,-11.384
250,27.487
251,9.3
