Question Number,Answer
1,3.308
2,648.973536348
3,5.875
4,1
5,12.139
6,-5.763
7,-110.39
8,-298.704849900646728733054062077382326747369462677705577728668
9,10.5034057858711093891256618881570450729691334108226785483663
10,-0.563843541562176
11,17
12,0.743
13,2.186
14,1347.60609048034097735399284862932061978545887961859356376639
15,33.47575
16,1
17,-1378.6
18,11.156994
19,152.0
20,7.076004
21,-1.96948890419407336164339644684255855591509154583268807037849
22,7.62323816010244332783996949353344453247171259149051399403333
23,0.254452926208651399491094147582697201017811704834605597964377
24,1
25,1
26,0.748
27,-37.009253403391661444074281756110433090345350793284295939572
28,301.558849900646728733054062077382326747369462677705577728668
29,-11.61505525
30,6.0646515780730897009966777408637873754152823920265780730897
31,-694.62
32,11.6664889041940733616433964468425585559150915458326880703785
33,3.51
34,-0.295857988165680473372781065088757396449704142011834319526627
35,1.79
36,61.1550173063170441001191895113230035756853396901072705601907
37,-1.97
38,-7.099
39,10.7044392764857881136950904392764857881136950904392764857881
40,0.220701831825204149194438313838004855440300154491282277642904
41,5.56223399212512822430024539964623453234212760080596036987745
42,60.60457
43,235.69
44,12.1582571208622016936104695919938414164742109314857582755966
45,19.2
46,5.024152
47,-7.94809760796432926838903958870062523549417604075462827846166
48,1
49,2.436772
50,6.5136679982228142380519336484352418581259748864918679370224
51,1.987
52,39.316
53,28.58
54,27.30
55,2.22843917274939172749391727493917274939172749391727493917275
56,6.50
57,1
58,9.947536348
59,62.2
60,6.27213279851907478832883288233683336888182911359778782803923
61,0.115127791848952337094174533732443011743034768593138383605802
62,-7.9
63,64.1
64,-2260.29389177662731333758774728781110402042118698149329929802
65,41.6087979957697359769654486807479628729824839317148017098209
66,9.33586729222520107238605898123324396782841823056300268096515
67,175.859
68,7.722
69,3.24
70,2.2
71,7.0
72,171.600444
73,175.672345138139825294748124330117899249732047159699892818864
74,0.4695878201556364106004607456548065887329898403876178450106
75,1
76,1
77,-1677.1432818312
78,5.38
79,1
80,4.0562483048449367615366011516773345161476677114207186380402
81,7.0119309059268176570551817797013756105464246598777893006102
82,3.95
83,-23.6
84,8.55761299711425480152384447273237369141252349865149224001343
85,-21.8050650622068121558229655313073628390781154395268203140934
86,-1
87,0.919614821017374921498848649780196776219384550973414276742726
88,370.340274
89,11.150
90,0.228206298493838429940666362391602008215426745778183477863989
91,8.639
92,1.604
93,16.063
94,6.85802551336898395721925133689839572192513368983957219251337
95,-25.3320556225669099756690997566909975669099756690997566909976
96,-47.2355440841320088420360622756478157745418882102047558588976
97,0.1013727048448314355883009600357222594329091315025675373967
98,1.44361299711425480152384447273237369141252349865149224001343
99,1.28
100,-243.6
101,1.311
102,62.1913125816858878273482917114733071796175099032564276498532
