Question Number,Answer
1,3.308
2,648.968
3,5.875
4,1.0
5,12.16
6,-5.763
7,-110.31
8,-107.265
9,10.498000000000001
10,-0.30600000000000005
11,17
12,0.7429999999999999
13,2.186
14,1100.4656000000002
15,33.475750000000005
16,1
17,-1378.6
18,11.156994000000001
19,124.15
20,7.076004
21,-1.9627851140456183
22,9.859913793103448
23,0.2544529262086514
24,1
25,1
26,1.496
27,-15.397
28,110.119
29,-11.638
30,6.068
31,-694.8
32,11.657
33,3.61
34,-0.2958579881656805
35,1.79
36,49.93544
37,-1.96
38,-7.099
39,10.684999999999999
40,0.22070183182520417
41,5.536
42,60.60457
43,235.75
44,12.154
45,19.25
46,5.0409999999999995
47,-7.942360000000001
48,1
49,2.428
50,6.456
51,1.987
52,39.45
53,13.81
54,27.27
55,2.235401459854015
56,2.73
57,1
58,9.946000000000002
59,61.7
60,15.145
61,0.11512779184895233
62,-7.9
63,64.15
64,-2260.8650000000002
65,41.56513500710563
66,9.335924932975871
67,143.61
68,7.7219999999999995
69,3.24
70,2.2
71,7.0
72,171.600444
73,175.488
74,0.4550000000000005
75,1.0
76,1
77,-838.61343
78,5.37
79,1
80,4.046987495263357
81,7.005392652510953
82,3.95
83,-23.6
84,8.554
85,-21.784999999999997
86,-1
87,0.920033493824576
88,370.340274
89,21.92
90,0.22820629849383844
91,8.639
92,1.61
93,15.851
94,6.880681818181818
95,-25.323905109489054
96,-46.9497
97,0.21300000000000008
98,1.4430379746835444
99,1.26
100,-243.29
101,1.29
102,61.7001
103,1.3
104,1.5234069203068732
105,5.759
106,4.093
107,-15.4
108,0.4700000000000002
109,1.710042695377761
110,2.96
111,10.27836
112,20.587
113,-0.19799999999999995
114,-174.999
115,-53.73
116,1.338353620796369
117,128.82
118,3.618999999999999
119,6.6458699999999995
120,26.4
121,9.9
122,-2.78
123,4.14
124,-21.78
125,-295.8
126,19.56
127,3.1210000000000004
128,6.917
129,4.804
130,26.2441
131,-162.967782
132,71.649
133,1.0
134,7.305
135,-13.014400000000002
136,1.92
137,-30.077
138,1
139,25.437580000000004
140,1
141,-4.18
142,45.985
143,3.24
144,15.5
145,-4.52
146,15.344000000000001
147,0.20703933747412007
148,5.269
149,-17.922014622258327
150,-0.48100000000000165
151,36.63799899999999
152,-2.251
153,7.868
154,369.931
155,1
156,32.83
157,9.73122
158,3.2439999999999998
159,15.52947952665201
160,8.642
161,-0.6782945736434108
162,1.298654056020371
163,-2.606
164,0.38733705772811916
165,1
166,-38.239000000000004
167,44.5
168,-39.876599999999996
169,0.14040999719180006
170,0.34458993797381116
171,1.2280000000000015
172,-5.231
173,4.17
174,-23.5648
175,14.78
176,71.502
177,-152.192
178,1.4618771262757655
179,3420.99
180,1
181,0.13408759941749748
182,-162.97
183,13.58
184,65.76
185,5.62
186,7.495
187,69.8
188,8.81
189,5.23
190,10.688
191,3199.3672599999995
192,7.35
193,2.428
194,1.0
195,11.311
196,-0.17799999999999994
197,-17.1
198,8.809000000000001
199,-3.529
200,13.566
201,9.15
202,11.3
203,-13.01
204,3.58
205,1.85
206,-0.25164896590273894
207,1.6
208,8.937
209,1.3
210,8.79
211,3.956999999999999
212,5.6129999999999995
213,-0.26921523758244714
214,1.51
215,8.41
216,-19.394
217,4.934
218,79.859
219,12.0
220,5.02
221,0.643
222,304.889
223,5.038
224,-59.791732
225,-21.07
226,40.009
227,1.66572
228,-26.13
229,7.154
230,49.94
231,7.8060000000000045
232,9.768
233,-21.073503521126757
234,2.244
235,124.15083999999999
236,-8.237
237,64.614751
238,455.49
239,-2263.335
240,0.022999999999999687
241,2.547675804529202
242,0.13945945945945945
243,1.7889810678579028
244,1
245,31.25463864684777
246,12.15
