Question Number,Answer
1,3.308
2,-389.822
3,5.875
4,0.181
5,0.106
6,-926.103
7,986.00
8,987.345
9,263.048
10,-908.106
11,17
12,0.743
13,-452.882
14,116.118
15,17.094
16,828
17,680.0
18,2145.567
19,13.1
20,494.532
21,173.035
22,30.945
23,235.145
24,374
25,850
26,4.488
27,230.673
28,-5.146
29,-899.942
30,440.748
31,658.00
32,-27.303
33,832.00
34,100.592
35,243.00
36,5.266
37,21.00
38,4578.546
39,765.485
40,0.221
41,-259.264
42,1502.808
43,335.00
44,490.124
45,713.0
46,1.310
47,880.080
48,341
49,1.130
50,2.450
51,167.593
52,725.000
53,442.00
54,509.00
55,58.910
56,465.00
57,462
58,570.393
59,102.0
60,344.075
61,53.488
62,47.0
63,791.0
64,241.470
65,17.321
66,42.225
67,15.153
68,694.722
69,158.00
70,928.0
71,81.0
72,4845.182
73,-113.511
74,1.810
75,3.422
76,1
77,6654.310
78,-60.51
79,1
80,312.618
81,123.618
82,695.950
83,174.0
84,769.114
85,-1.285
86,213
87,22.105
88,1016.184
89,967.000
90,0.228
91,-363.118
92,876.000
93,819.000
94,37.792
95,120.926
96,368.566
97,723.733
98,21.276
99,906.00
100,501.0
101,860.000
102,2844.565
103,1.512
104,1.600
105,985.409
106,327.883
107,27.00
108,707.370
109,1.710
110,316.00
111,223.524
112,46.337
113,-726.198
114,-361.462
115,404.000
116,74.819
117,11.70
118,1.230
119,2363.442
120,987.0
121,58.0
122,-475.980
123,633.00
124,-1.3
125,254.0
126,724.0
127,3.121
128,-271.853
129,5.376
130,129.750
131,-525.641
132,189.889
133,0.781
134,10.733
135,1815.662
136,586.0
137,493.000
138,667
139,4.877
140,969
141,61.70
142,546.345
143,1.942
144,2.1
145,506.00
146,58.499
147,60.663
148,574.747
149,1.137
150,-347.739
151,386.012
152,122.529
153,673.719
154,657.688
155,330
156,343.000
157,10.218
158,-405.756
159,2.077
160,580.000
161,137.738
162,143.698
163,2433.552
164,0.387
165,822
166,969.565
167,553.0
168,1148.0
169,21.803
170,339.724
171,1.175
172,448.166
173,4.17
174,957.315
175,487.914
176,724.892
177,384.707
178,2.148
179,960.00
180,286
181,72.518
182,-525.64
183,620.938
184,536.00
185,1.830
186,139.495
187,455.0
188,198.0
189,318.000
190,763.768
191,7944.111
192,815.0
193,-989.672
194,0.580
195,534.000
196,-809.625
197,737.0
198,86.859
199,636.000
200,12.068
201,9.15
202,733.00
203,135.0
204,336.000
205,958.850
206,17.004
207,651.0
208,4.463
209,498.0
210,956.00
211,2.590
212,4386.513
213,123.958
214,0.330
215,305.00
216,-62.554
217,-188.066
218,551.000
219,931.00
220,0.9
221,-523.357
222,-441.635
223,2155.038
224,3228.336
225,233.00
226,-906.023
227,130.878
228,896.000
229,595.594
230,5.27
231,3.110
232,9.768
233,150.088
234,2.930
235,13.101
236,-83.683
237,177.728
238,366.000
239,810.011
240,-555.132
241,7.640
242,10.919
243,45.744
244,279
245,22.784
246,44.000
247,51.546
248,0.520
249,-245.260
250,-784.843
251,66.0
252,61.704
253,13.497
254,4617.0
255,673.424
256,133.418
257,421.738
258,0.730
259,0.742
260,568.000
261,253.0
262,1.130
263,50.000
264,1
265,2.110
266,363
267,0.085
268,778.681
269,74
270,0.500
271,213.624
272,3306.634
273,-737.624
274,218.923
275,1
276,738.427
277,589.00
278,247.0
279,86.911
280,171.00
281,1.000
282,366.171
283,858
284,5.716
285,741.00
286,48.327
287,4203.720
288,0.480
289,71.553
290,-436.453
291,965
292,2.600
293,-986.415
294,419.000
295,518.013
296,8.118
297,128.642
298,885
299,55.586
300,446.00
301,20.00
302,85.899
303,0.770
304,116.12
305,-861.592
306,256
307,1024.240
308,70.889
309,0.130
310,0.610
311,68.170
312,803.185
313,827.041
314,0.230
315,55.0
316,1.520
317,0.520
318,0.710
319,2993.875
320,1.900
321,262.00
322,245.000
323,81.320
324,333.000
325,224.000
326,-305.790
327,173.838
328,0.9
329,743.00
330,37.529
331,4681.852
332,945.701
333,1.420
334,468.0
335,231.525
336,1.650
337,405.0
338,255.00
339,531.000
340,206
341,-144.226
342,909.00
343,971.730
344,563.0
345,-971.606
346,452.00
347,924.258
348,78.811
349,111.0
350,639.554
351,0.000
352,162.000
353,0.540
354,2275.572
355,888.0
356,-446.258
357,97.169
358,-608.940
359,575.701
360,414.520
361,274.0
362,481.000
363,-511.739
364,0.740
365,-760.403
366,88.886
367,66.584
368,1.318
369,3612.084
370,258
371,-871.757
372,0.169
373,6
374,0.880
375,369.754
376,476.441
377,118.0
378,625.00
379,897.000
380,920.0
381,8.130
382,8173.575
383,312.00
