Total Questions: 1000
Correct Answers: 752
Wrong Answers: 248
Accuracy: 75.20%

Mismatched Answers:
Q7: Expected=-110.06 | Found=-110.31
Q8: Expected=-107.355 | Found=-107.265
Q9: Expected=10.497 | Found=10.508
Q10: Expected=-0.006000000000000227 | Found=-0.296
Q17: Expected=-1378.6 | Found=-1378.56
Q27: Expected=-15.406999999999998 | Found=-15.397
Q28: Expected=110.209 | Found=110.119
Q31: Expected=-694.26 | Found=-694.8
Q39: Expected=10.684999999999999 | Found=10.705
Q43: Expected=235.57 | Found=235.75
Q50: Expected=6.288000000000001 | Found=6.378
Q52: Expected=39.673 | Found=39.35
Q53: Expected=28.35 | Found=28.44
Q59: Expected=62.5 | Found=61.7
Q60: Expected=0.8150000000000004 | Found=15.145
Q62: Expected=-8.0 | Found=-7.9
Q64: Expected=-2259.1270000000004 | Found=-2260.869
Q85: Expected=-21.784999999999997 | Found=-21.825
Q89: Expected=21.919 | Found=12.74
Q96: Expected=-47.544 | Found=-46.9497
Q97: Expected=0.2160000000000002 | Found=0.073
Q100: Expected=-243.3 | Found=-243.54
Q101: Expected=1.29 | Found=1.31
Q102: Expected=62.5014 | Found=61.7001
Q103: Expected=1.3 | Found=1.27
Q109: Expected=1.8956747726007055 | Found=1.7100426954
Q117: Expected=127.65 | Found=128.82
Q118: Expected=3.5989999999999993 | Found=3.619
Q119: Expected=-7.6857 | Found=6.64587
Q120: Expected=26.4 | Found=26.35
Q125: Expected=-295.8 | Found=-295.53
Q126: Expected=19.6 | Found=19.57
Q127: Expected=4.121 | Found=3.121
Q128: Expected=6.917 | Found=4.487
Q131: Expected=-122.717412 | Found=-123.473682
Q134: Expected=10.733 | Found=7.307
Q139: Expected=25.399328000000004 | Found=25.43758
Q146: Expected=10.549000000000001 | Found=10.6449
Q149: Expected=-17.881397238017872 | Found=-17.9220146223
Q166: Expected=-38.312000000000005 | Found=-38.257
Q171: Expected=1.225999999999999 | Found=3.665
Q176: Expected=71.592 | Found=71.492
Q178: Expected=2.1478887332399443 | Found=1.4622773664
Q179: Expected=3420.7 | Found=3420.99
Q182: Expected=-122.72 | Found=-123.47
Q192: Expected=7.4 | Found=7.3
Q196: Expected=-0.17799999999999994 | Found=-0.238
Q201: Expected=10.14 | Found=9.15
Q204: Expected=3.584 | Found=3.44
Q209: Expected=1.3 | Found=1.27
Q213: Expected=-0.13460761879122357 | Found=-0.2692152376
Q218: Expected=79.415 | Found=79.84
Q222: Expected=304.889 | Found=304.619
Q224: Expected=-59.787895999999996 | Found=-24.577252
Q229: Expected=7.148999999999999 | Found=7.294
Q231: Expected=0.11800000000000388 | Found=7.706
Q239: Expected=-2261.597 | Found=-2263.339
Q249: Expected=-11.384 | Found=-11.41
Q254: Expected=-295.804494 | Found=-295.532064
Q255: Expected=-5.2620000000000005 | Found=9.074
Q257: Expected=53.391 | Found=52.791
Q258: Expected=0.1940000000000004 | Found=0.214
Q262: Expected=1.0029999999999983 | Found=0.203
Q263: Expected=6.288 | Found=6.38
Q268: Expected=-827.449 | Found=-827.359
Q272: Expected=-790.5075999999999 | Found=-789.11726
Q273: Expected=24.806 | Found=24.786
Q274: Expected=80.33800000000001 | Found=80.763
Q277: Expected=-39.34 | Found=-38.74
Q278: Expected=1.2 | Found=1.19
Q280: Expected=1.23 | Found=3.66
Q281: Expected=0.3819999999999997 | Found=6.182
Q284: Expected=5.716 | Found=2.29
Q292: Expected=2.8600000000000225 | Found=1.47
Q307: Expected=3.7982759999999995 | Found=3.8012
Q311: Expected=-5535.078999999999 | Found=-5534.9184
Q315: Expected=2.3 | Found=2.2
Q321: Expected=1.0 | Found=0.2
Q325: Expected=-59.788 | Found=-24.58
Q331: Expected=-110.70206400000001 | Found=-110.613474
Q334: Expected=-79.6 | Found=-79.46
Q335: Expected=235.56749999999997 | Found=235.75125
Q336: Expected=3.5840000000003105 | Found=3.441
Q337: Expected=-109.1 | Found=-109.21
Q338: Expected=-5.26 | Found=9.07
Q339: Expected=6.299 | Found=6.3
Q347: Expected=8.407 | Found=8.548
Q349: Expected=10.3 | Found=10.28
Q350: Expected=13.182 | Found=6.182
Q352: Expected=1.299 | Found=1.3
Q355: Expected=7.8 | Found=7.7
Q358: Expected=-3.5169999999999995 | Found=-3.657
Q361: Expected=80.3 | Found=80.76
Q365: Expected=4886.87 | Found=4886.727
Q367: Expected=1.5802965569238503 | Found=1.6034179442
Q375: Expected=89.054 | Found=89.514
Q380: Expected=2.3 | Found=1.7
Q382: Expected=-48470.686803 | Found=-48469.29444
Q390: Expected=18.72 | Found=18.81
Q398: Expected=176.28726600000002 | Found=176.337486
Q405: Expected=-109.14930000000001 | Found=-109.21313
Q411: Expected=-48470.7 | Found=-48469.29
Q412: Expected=12.010065425264216 | Found=11.9932897165
Q413: Expected=2274.4283499999997 | Found=2276.16625
Q414: Expected=45.653 | Found=45.053
Q415: Expected=0.38400000000000034 | Found=0.484
Q417: Expected=2.1 | Found=1.46
Q425: Expected=-390.32572799999997 | Found=-389.984448
Q427: Expected=19.9 | Found=13.8
Q431: Expected=-2259.127 | Found=-2260.87
Q440: Expected=-3.9 | Found=-3.88
Q442: Expected=28.351125 | Found=28.438125
Q443: Expected=2274.428 | Found=2276.17
Q450: Expected=1.896 | Found=1.71
Q451: Expected=-295.524 | Found=-295.254
Q457: Expected=71.306 | Found=72.012
Q463: Expected=1.7 | Found=1.67
Q467: Expected=-43.477 | Found=-42.8827
Q468: Expected=-79.592282 | Found=-79.455502
Q475: Expected=15.026 | Found=15.166
Q486: Expected=1.0 | Found=8.0
Q487: Expected=675.58 | Found=678.08
Q490: Expected=8.078169253426985 | Found=8.1581511272
Q497: Expected=30.464608 | Found=30.574668
Q501: Expected=-243.29299999999998 | Found=-243.5383
Q504: Expected=18.618 | Found=9.4374
Q506: Expected=-4.5569999999999995 | Found=-4.497
Q508: Expected=-14.884999999999998 | Found=-8.785
Q514: Expected=13.623708 | Found=13.7551
Q516: Expected=58.149 | Found=58.04
Q518: Expected=10.55 | Found=10.64
Q521: Expected=-390.326 | Found=-389.98
Q522: Expected=-1.7 | Found=1.47
Q526: Expected=75.6702 | Found=75.95046
Q527: Expected=119.6061 | Found=120.783221
Q528: Expected=30.5 | Found=30.8
Q543: Expected=2.498 | Found=2.501
Q544: Expected=6.02 | Found=6.13
Q550: Expected=-26.077170418006432 | Found=-26.1028938907
Q551: Expected=79.41477499999999 | Found=79.838
Q552: Expected=-817.874 | Found=-817.78
Q556: Expected=-31.105027999999997 | Found=-31.050098
